,features,dicationary
last_3_days_only_install_category_unique_to_whole_ratio,0.058823529411764705,最近3only_install不同种类数与全种类比值
last_3_day_cash_app_cnt_only_install,1.0,最近3天现金贷apponly_install数
last_3_day_gp_cash_app_cnt_only_install,0.0,最近3天现金贷google play 上的only_install数
last_3_day_un_gp_cash_app_cnt_only_install,1.0,最近3天现金贷非google play 上的only_install数
last_3_day_review_unpopular_app_only_install,0.0,最近3天_review_unpopular_app_only_install数
last_3_day_review_unpopular_app_only_install_to_whole_ratio,0.0,最近3天_review_unpopular_app_only_install数与总数比值
last_3_day_review_unpopular_second_app_only_install,0.0,最近3天_review_unpopular_second_app_only_install数
last_3_day_review_unpopular_second_app_only_install_to_whole_ratio,0.0,最近3天_review_unpopular_second_app_only_install数与总数比值
last_3_day_review_middle_app_only_install,0.0,最近3天_review_middle_app_only_install数
last_3_day_review_middle_app_only_install_to_whole_ratio,0.0,最近3天_review_middle_app_only_install数与总数比值
last_3_day_review_popular_app_only_install,0.0,最近3天_review_popular_app_only_install数
last_3_day_review_popular_app_only_install_to_whole_ratio,0.0,最近3天_review_popular_app_only_install数与总数比值
last_3_day_install_unpopular_app_only_install,0.0,最近3天_install_unpopular_app_only_install数
last_3_day_install_unpopular_app_only_install_to_whole_ratio,0.0,最近3天_install_unpopular_app_only_install数与总数比值
last_3_day_install_unpopular_second_app_only_install,0.0,最近3天_install_unpopular_second_app_only_install数
last_3_day_install_unpopular_second_app_only_install_to_whole_ratio,0.0,最近3天_install_unpopular_second_app_only_install数与总数比值
